s	external_id	project	continental_pop	subpop	gvcf	cram	crai	realign_cram	realign_crai	batch	operation	flowcell_lane	library_id	platform	centre	r_contamination	r_chimera	r_duplication	median_insert_size	fam_id	mat_id	sex	original_gvcf	pat_id
HG03312	HG03312	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03312.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03312/analysis/HG03312.haplotypeCalls.er.raw.vcf.gz	-
HG03314	HG03314	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03314.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03314/analysis/HG03314.haplotypeCalls.er.raw.vcf.gz	-
HG03344	HG03344	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03344.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03344/analysis/HG03344.haplotypeCalls.er.raw.vcf.gz	-
HG03350	HG03350	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03350.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03350/analysis/HG03350.haplotypeCalls.er.raw.vcf.gz	-
HG03368	HG03368	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03368.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03368/analysis/HG03368.haplotypeCalls.er.raw.vcf.gz	-
HG03371	HG03371	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03371.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03371/analysis/HG03371.haplotypeCalls.er.raw.vcf.gz	-
HG03373	HG03373	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03373.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03373/analysis/HG03373.haplotypeCalls.er.raw.vcf.gz	-
HG03374	HG03374	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03374.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03374/analysis/HG03374.haplotypeCalls.er.raw.vcf.gz	-
HG03438	HG03438	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03438.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03438/analysis/HG03438.haplotypeCalls.er.raw.vcf.gz	-
HG03453	HG03453	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03453.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03453/analysis/HG03453.haplotypeCalls.er.raw.vcf.gz	-
HG03454	HG03454	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03454.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03454/analysis/HG03454.haplotypeCalls.er.raw.vcf.gz	-
HG03456	HG03456	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03456.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03456/analysis/HG03456.haplotypeCalls.er.raw.vcf.gz	-
HG03480	HG03480	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03480.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03480/analysis/HG03480.haplotypeCalls.er.raw.vcf.gz	-
HG03486	HG03486	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03486.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03486/analysis/HG03486.haplotypeCalls.er.raw.vcf.gz	-
HG03487	HG03487	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03487.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03487/analysis/HG03487.haplotypeCalls.er.raw.vcf.gz	-
HG03489	HG03489	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03489.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03489/analysis/HG03489.haplotypeCalls.er.raw.vcf.gz	-
HG03492	HG03492	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03492.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03492/analysis/HG03492.haplotypeCalls.er.raw.vcf.gz	-
HG03516	HG03516	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03516.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03516/analysis/HG03516.haplotypeCalls.er.raw.vcf.gz	-
HG03519	HG03519	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03519.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03519/analysis/HG03519.haplotypeCalls.er.raw.vcf.gz	-
HG03522	HG03522	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03522.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03522/analysis/HG03522.haplotypeCalls.er.raw.vcf.gz	-
HG03540	HG03540	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03540.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03540/analysis/HG03540.haplotypeCalls.er.raw.vcf.gz	-
HG03574	HG03574	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03574.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03574/analysis/HG03574.haplotypeCalls.er.raw.vcf.gz	-
HG03576	HG03576	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03576.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03576/analysis/HG03576.haplotypeCalls.er.raw.vcf.gz	-
HG03579	HG03579	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03579.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03579/analysis/HG03579.haplotypeCalls.er.raw.vcf.gz	-
HG03582	HG03582	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03582.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03582/analysis/HG03582.haplotypeCalls.er.raw.vcf.gz	-
HG03584	HG03584	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03584.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03584/analysis/HG03584.haplotypeCalls.er.raw.vcf.gz	-
HG03596	HG03596	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03596.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03596/analysis/HG03596.haplotypeCalls.er.raw.vcf.gz	-
HG03605	HG03605	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03605.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03605/analysis/HG03605.haplotypeCalls.er.raw.vcf.gz	-
HG03606	HG03606	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03606.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03606/analysis/HG03606.haplotypeCalls.er.raw.vcf.gz	-
HG03617	HG03617	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03617.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03617/analysis/HG03617.haplotypeCalls.er.raw.vcf.gz	-
HG03618	HG03618	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03618.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03618/analysis/HG03618.haplotypeCalls.er.raw.vcf.gz	-
HG03620	HG03620	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03620.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03620/analysis/HG03620.haplotypeCalls.er.raw.vcf.gz	-
HG03626	HG03626	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03626.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03626/analysis/HG03626.haplotypeCalls.er.raw.vcf.gz	-
HG03633	HG03633	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03633.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03633/analysis/HG03633.haplotypeCalls.er.raw.vcf.gz	-
HG03635	HG03635	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03635.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03635/analysis/HG03635.haplotypeCalls.er.raw.vcf.gz	-
HG03639	HG03639	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03639.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03639/analysis/HG03639.haplotypeCalls.er.raw.vcf.gz	-
HG03641	HG03641	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03641.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03641/analysis/HG03641.haplotypeCalls.er.raw.vcf.gz	-
HG03650	HG03650	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03650.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03650/analysis/HG03650.haplotypeCalls.er.raw.vcf.gz	-
HG03651	HG03651	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03651.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03651/analysis/HG03651.haplotypeCalls.er.raw.vcf.gz	-
HG03654	HG03654	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03654.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03654/analysis/HG03654.haplotypeCalls.er.raw.vcf.gz	-
HG03669	HG03669	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03669.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03669/analysis/HG03669.haplotypeCalls.er.raw.vcf.gz	-
HG03682	HG03682	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03682.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03682/analysis/HG03682.haplotypeCalls.er.raw.vcf.gz	-
HG03683	HG03683	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03683.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03683/analysis/HG03683.haplotypeCalls.er.raw.vcf.gz	-
HG03688	HG03688	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03688.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03688/analysis/HG03688.haplotypeCalls.er.raw.vcf.gz	-
HG03699	HG03699	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03699.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03699/analysis/HG03699.haplotypeCalls.er.raw.vcf.gz	-
HG03700	HG03700	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03700.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03700/analysis/HG03700.haplotypeCalls.er.raw.vcf.gz	-
HG03701	HG03701	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03701.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03701/analysis/HG03701.haplotypeCalls.er.raw.vcf.gz	-
HG03704	HG03704	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03704.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03704/analysis/HG03704.haplotypeCalls.er.raw.vcf.gz	-
HG03707	HG03707	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03707.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03707/analysis/HG03707.haplotypeCalls.er.raw.vcf.gz	-
HG03710	HG03710	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03710.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03710/analysis/HG03710.haplotypeCalls.er.raw.vcf.gz	-
HG03719	HG03719	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03719.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03719/analysis/HG03719.haplotypeCalls.er.raw.vcf.gz	-
HG03721	HG03721	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03721.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03721/analysis/HG03721.haplotypeCalls.er.raw.vcf.gz	-
HG03725	HG03725	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03725.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03725/analysis/HG03725.haplotypeCalls.er.raw.vcf.gz	-
HG03732	HG03732	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03732.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03732/analysis/HG03732.haplotypeCalls.er.raw.vcf.gz	-
HG03761	HG03761	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03761.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03761/analysis/HG03761.haplotypeCalls.er.raw.vcf.gz	-
HG03763	HG03763	thousand-genomes	-	-	gs://cpg-thousand-genomes-main/gvcf/raw/HG03763.g.vcf.gz	-	-	-	-	-	add	-	-	-	-	-	-	-	-	0	0	0	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_14151/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Project_CCDG_14151_B01_GRM_WGS.gVCF.2020-02-12/Sample_HG03763/analysis/HG03763.haplotypeCalls.er.raw.vcf.gz	-
